PPD,KOD SEKOLAH,NAMA SEKOLAH,BIL PELAJAR,ALAMAT,POSKOD,BANDAR,NEGERI,DAERAH,NO TEL,KOD A,Page,Kod Urutan,ZON HD,Nama HD,NO SAP,CO Number,MONTH (ejaan penuh melayu huruf besar),YEAR,No Kontrak,No Tender,BIL TP,BIL CK,Column1
PPD BESUT,TBA0001,SK KAMPONG RAJA,176,"KAMPONG RAJA,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6957714,BESUT,1,1,A,AHMAD TARMIZI MOHAMED,BESUT001 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,"edit CO No, Month, Year,  no kontrak"
PPD BESUT,TBA0002,SK AMER,123,"KAMPUNG AMER,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6958743,BESUT,2,2,F,MOHD HAFIZI TALIB,BESUT002 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0003,SK ALOR LINTAH,166,"KAMPUNG ALOR LINTAH,",22000,"JERTEH,",TERENGGANU,BESUT,09-6971215,BESUT,3,3,F,MOHD HAFIZI TALIB,BESUT003 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0004,SK KERANDANG,269,"KAMPUNG TANAH MERAH,",22000,"JERTEH,",TERENGGANU,BESUT,09-6943064,BESUT,4,4,D,WALI KHAN,BESUT004 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0005,SK KUALA BESUT,407,"JALAN BESAR,",22300,"KUALA BESUT,",TERENGGANU,BESUT,09-6902354,BESUT,5,5,A,AHMAD TARMIZI MOHAMED,BESUT005 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0006,SK TEMBILA,293,"KAMPUNG TEMBILA,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6950937,BESUT,6,6,F,MOHD HAFIZI TALIB,BESUT006 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0007,SK KAMPUNG NANGKA,168,"KAMPUNG LAMPU,",22300,"KUALA BESUT,",TERENGGANU,BESUT,09-6918870,BESUT,7,7,A,AHMAD TARMIZI MOHAMED,BESUT007 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0008,SK PULAU PERHENTIAN,163,PEJABAT POS KUALA BESUT,22300,"KUALA BESUT,",TERENGGANU,BESUT,09-6977106,BESUT,8,8,A,AHMAD TARMIZI MOHAMED,BESUT008 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0012,SK BETING LINTANG,222,"KAMPUNG BETING LINTANG,",22200,"KAMPUNG RAJA,",TERENGGANU,BESUT,09-6920130,BESUT,9,9,A,AHMAD TARMIZI MOHAMED,BESUT009 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
PPD BESUT,TBA0013,SK GONG BAYOR,290,"KAMPUNG GONG BAYOR,",22200,"KAMPONG RAJA,",TERENGGANU,BESUT,09-6920050,BESUT,10,10,C,NOIDORA ABDULLAH,BESUT010 (CO8/NOVEMBER/2025) ,CO8,NOVEMBER,2025,CO250000000558889,QT240000000030911,44,0,
